prodcode,productname,add,apd,hyp
24141,amitriptyline 10mg tablets (actavis uk ltd),1,,
59035,venlablue xl 37.5mg capsules (bluefish pharmaceuticals ab),1,,
43234,mirtazapine 45mg orodispersible tablets (teva uk ltd),1,,
50722,dosulepin 25mg/5ml oral solution,1,,
50081,venlablue xl 150mg capsules (bluefish pharmaceuticals ab),1,,
60591,lofepramine 70mg tablets (teva uk ltd),1,,
34672,lofepramine 70mg tablets (sterwin medicines),1,,
44936,venlaneo xl 150mg capsules (kent pharmaceuticals ltd),1,,
3391,dutonin 100mg tablets (bristol-myers squibb pharmaceuticals ltd),1,,
41709,trazodone 100mg capsules (teva uk ltd),1,,
8719,anafranil 25mg/5ml syrup (novartis pharmaceuticals uk ltd),1,,
42734,dosulepin 75mg tablets (almus pharmaceuticals ltd),1,,
13621,molipaxin cr 150mg tablets (aventis pharma),1,,
34058,dosulepin 75mg tablets (teva uk ltd),1,,
55537,seroxat 30mg tablets (lexon (uk) ltd),1,,
67,citalopram 20mg tablets,1,,
34587,paroxetine 30mg tablets (a a h pharmaceuticals ltd),1,,
60549,venlafaxine 150mg modified-release capsules (kent pharmaceuticals ltd),1,,
30375,anafranil 25mg/2ml solution for injection ampoules (novartis pharmaceuticals uk ltd),1,,
43250,mirtazapine 30mg orodispersible tablets (a a h pharmaceuticals ltd),1,,
34950,lofepramine 70mg tablets (actavis uk ltd),1,,
53648,mirtazapine 30mg orodispersible tablets (actavis uk ltd),1,,
14849,cymbalta 60mg gastro-resistant capsules (eli lilly and company ltd),1,,
53321,mirtazapine 15mg/ml oral solution sugar free (a a h pharmaceuticals ltd),1,,
1575,seroxat 30mg tablets (glaxosmithkline uk ltd),1,,
42660,citalopram 10mg tablets (almus pharmaceuticals ltd),1,,
51699,venlafaxine 37.5mg/5ml oral solution,1,,
40517,vexarin xl 150mg capsules (generics (uk) ltd),1,,
9206,manerix 150mg tablets (meda pharmaceuticals ltd),1,,
34470,trazodone 150mg tablets (zentiva),1,,
24723,asendis 150mg tablet (wyeth pharmaceuticals),1,,
34222,imipramine 10mg tablets (actavis uk ltd),1,,
6218,escitalopram 20mg tablets,1,,
45233,amitriptyline 10mg tablets (ivax pharmaceuticals uk ltd),1,,
52607,citalopram 20mg tablets (bristol laboratories ltd),1,,
527,paroxetine 10mg/5ml oral suspension sugar free,1,,
30258,fluoxetine 20mg/5ml oral solution (teva uk ltd),1,,
2093,gamanil 70mg tablets (merck serono ltd),1,,
34245,clomipramine 25mg capsules (a a h pharmaceuticals ltd),1,,
34251,amitriptyline 50mg/5ml oral solution sugar free (rosemont pharmaceuticals ltd),1,,
10649,imipramine 75 mg tab,1,,
54826,sertraline 150mg/5ml oral suspension,1,,
7573,imipramine 25 mg cap,1,,
43237,mirtazapine 15mg orodispersible tablets (teva uk ltd),1,,
7756,protriptyline 5mg tablet,1,,
114,lofepramine 70mg tablets,1,,
40059,venlalic xl 75mg tablets (db ashbourne ltd),1,,
7693,anafranil 50mg capsules (novartis pharmaceuticals uk ltd),1,,
182,tryptizol 10mg/ml injection (merck sharp & dohme ltd),1,,
51280,efexor xl 150mg capsules (waymade healthcare plc),1,,
41729,amitriptyline 25mg tablet (celltech pharma europe ltd),1,,
19470,fluoxetine 20mg capsules (ranbaxy (uk) ltd),1,,
45286,citalopram 10mg tablets (niche generics ltd),1,,
55138,trazodone 250mg/5ml oral solution,1,,
59954,mirtazapine 45mg tablets (almus pharmaceuticals ltd),1,,
32439,amitriptyline 25mg tablet (sussex pharmaceutical ltd),1,,
59931,trazodone 50mg/5ml oral solution sugar free (a a h pharmaceuticals ltd),1,,
48220,prozac 20mg capsules (lexon (uk) ltd),1,,
43235,mirtazapine 45mg orodispersible tablets (a a h pharmaceuticals ltd),1,,
2617,venlafaxine 50mg tablets,1,,
34202,fluoxetine 20mg capsules (genus pharmaceuticals ltd),1,,
34288,fluoxetine 20mg capsules (generics (uk) ltd),1,,
46970,amitriptyline 50mg tablets (ivax pharmaceuticals uk ltd),1,,
40165,paroxetine 30mg tablets (actavis uk ltd),1,,
1222,venlafaxine 75mg tablets,1,,
4352,lustral 100mg tablets (pfizer ltd),1,,
43203,venlafaxine 75mg modified-release capsules (sandoz ltd),1,,
34274,amitriptyline 50mg tablets (a a h pharmaceuticals ltd),1,,
6360,cipralex 20mg tablets (lundbeck ltd),1,,
34419,paroxetine 20mg tablets (a a h pharmaceuticals ltd),1,,
14740,oxactin 20mg capsules (discovery pharmaceuticals ltd),1,,
43239,mirtazapine 15mg tablets (a a h pharmaceuticals ltd),1,,
4075,fluoxetine 60mg capsules,1,,
25945,iproniazid 25mg,1,,
60534,fluoxetine 20mg dispersible tablets sugar free,1,,
10787,parnate 10mg tablet (goldshield pharmaceuticals ltd),1,,
34415,citalopram 20mg tablets (generics (uk) ltd),1,,
56229,lofepramine 70mg/5ml oral solution,1,,
56292,citalopram 40mg/ml oral drops sugar free (actavis uk ltd),1,,
34182,amitriptyline 50mg tablets (kent pharmaceuticals ltd),1,,
5832,manerix 300mg tablets (meda pharmaceuticals ltd),1,,
2897,faverin 50mg tablets (abbott healthcare products ltd),1,,
34421,trazodone 50mg capsules (zentiva),1,,
56355,citalopram 10mg tablets (waymade healthcare plc),1,,
83,amitriptyline 10mg tablets,1,,
252,prozac 20mg/5ml liquid (eli lilly and company ltd),1,,
40494,agomelatine 25mg tablets,1,,
58837,venlafaxine 37.5mg modified-release capsules,1,,
30983,trazodone 150mg tablets (generics (uk) ltd),1,,
35493,sinepin 50mg capsules (marlborough pharmaceuticals ltd),1,,
15268,zispin soltab 45mg orodispersible tablets (merck sharp & dohme ltd),1,,
32457,butriptyline 50mg tablets,1,,
37256,prozep 20mg/5ml oral solution (chemidex pharma ltd),1,,
40407,venlalic xl 225mg tablets (db ashbourne ltd),1,,
45247,fluoxetine 20mg capsules (fannin uk ltd),1,,
19779,amitriptyline 10mg/ml injection,1,,
55023,paroxetine 20mg tablets (medreich plc),1,,
34355,imipramine 25mg tablets (actavis uk ltd),1,,
60370,zispin soltab 15mg orodispersible tablets (mawdsley-brooks & company ltd),1,,
